Iteration,All with BEV100,LFLM with BEV100,All with BEV250
365,28.31,63.31,73.81
366,36.12,71.12,79.29
367,46.86,74.12,88.65
368,35.68,70.68,78.98
369,24.27,59.27,70.99
370,61.08,70.85,81.88
371,52.40,84.50,92.80
372,32.78,67.78,76.95
373,21.77,56.77,69.24
374,51.60,82.99,92.20
375,47.86,75.98,89.39
376,40.58,62.33,83.93
377,47.02,74.41,88.76
378,28.54,63.54,73.98
379,56.68,92.52,96.01
380,60.17,99.06,81.88
381,37.43,56.43,81.57
382,41.11,76.11,82.78
383,20.77,55.77,68.54
384,31.64,66.64,76.15
385,50.35,80.65,91.26
386,54.02,87.54,94.01
387,8.71,43.71,60.09
388,33.45,68.45,77.41
389,49.65,79.34,90.74
390,21.89,56.89,69.32
391,42.08,65.14,85.06
392,38.40,58.25,82.30
393,40.92,75.92,82.64
394,33.07,68.07,77.15
395,49.64,79.32,90.73
396,38.20,57.88,82.15
397,45.93,80.93,86.15
398,35.10,52.05,79.82
399,55.12,89.60,94.84
400,45.81,72.14,87.86
401,40.74,75.74,82.52
402,46.88,74.16,88.66
403,23.97,58.97,70.78
404,26.09,61.09,72.26
405,25.84,60.84,72.09
406,26.24,61.24,72.37
407,47.21,74.78,88.91
408,27.04,62.04,72.93
409,40.89,62.91,84.17
410,23.02,58.02,70.12
411,26.12,61.12,72.28
412,50.66,81.24,91.50
413,41.25,76.25,82.87
414,22.28,57.28,69.60
415,24.92,59.92,71.44
416,46.50,73.44,88.38
417,56.61,92.40,95.96
418,57.74,94.52,96.81
419,15.70,50.70,64.99
420,47.09,82.09,86.96
421,45.88,72.27,87.91
422,22.90,57.90,70.03
423,29.35,64.35,74.54
424,48.91,77.95,90.18
425,36.02,53.79,80.52
426,48.68,77.53,90.01
427,70.78,70.85,81.88
428,22.20,57.20,69.54
429,23.59,58.59,70.51
430,23.19,58.19,70.23
431,9.67,44.67,60.77
432,40.16,61.56,83.62
433,59.48,97.77,81.88
434,29.75,64.75,74.83
435,49.64,79.33,90.73
436,28.02,63.02,73.61
437,38.92,73.92,81.24
438,32.60,47.38,77.95
439,41.78,64.58,84.83
440,36.46,71.46,79.52
441,51.61,83.02,92.21
442,41.87,64.75,84.90
443,29.82,64.82,74.87
444,38.53,73.53,80.97
445,57.24,93.57,96.43
446,40.07,61.38,83.55
447,41.81,64.65,84.86
448,25.76,60.76,72.03
449,46.56,73.55,88.42
450,60.85,70.85,81.88
451,39.62,74.62,81.73
452,63.34,70.85,81.88
453,44.43,69.55,86.82
454,32.16,46.55,77.62
455,38.22,57.90,82.16
456,30.56,65.56,75.39
457,35.09,70.09,78.57
458,9.02,44.02,60.31
459,19.96,54.96,67.97
460,49.17,78.45,90.38
461,52.82,85.29,93.12
462,57.26,93.62,96.45
463,60.73,70.85,81.88
464,47.38,75.08,89.03
465,61.24,70.85,81.88
466,32.79,67.79,76.96
467,22.94,57.94,70.06
468,49.42,78.91,90.56
469,41.45,63.96,84.58
470,40.83,75.83,82.58
471,42.42,65.78,85.31
472,13.81,48.81,63.67
473,28.90,63.90,74.23
474,62.38,70.85,81.88
475,51.25,82.35,91.94
476,67.18,70.85,81.88
477,33.64,68.64,77.55
478,48.46,77.11,89.84
479,52.68,85.03,93.01
480,29.72,64.72,74.80
481,26.43,61.43,72.50
482,55.11,89.59,94.84
483,24.83,59.83,71.38
484,26.38,61.38,72.47
485,53.51,88.51,91.45
486,54.47,89.47,92.13
487,42.87,66.63,85.65
488,42.67,66.25,85.50
489,10.27,45.27,61.19
490,51.47,82.76,92.10
491,56.30,91.82,95.73
492,52.85,87.85,90.99
493,44.49,69.67,86.87
494,41.85,64.71,84.89
495,60.23,99.18,81.88
496,45.60,71.75,87.70
497,45.42,71.42,87.57
498,18.93,53.93,67.25
499,33.48,68.48,77.43
500,51.76,83.30,92.32
501,30.77,65.77,75.54
502,27.03,62.03,72.92
503,18.17,53.17,66.72
504,30.11,65.11,75.08
505,42.51,65.97,85.39
506,45.94,80.94,86.16
507,49.24,78.58,90.43
508,27.50,62.50,73.25
509,41.59,76.59,83.12
510,18.86,53.86,67.20
511,4.71,39.71,57.30
512,41.18,63.47,84.39
513,40.40,62.00,83.80
514,30.47,65.47,75.33
515,25.96,60.96,72.17
516,42.31,65.58,85.23
517,25.78,60.78,72.04
518,33.74,68.74,77.62
519,47.77,75.82,89.33
520,41.90,76.90,83.33
521,22.63,57.63,69.84
522,32.91,67.91,77.03
523,52.09,83.92,92.57
524,64.58,70.85,81.88
525,47.81,75.90,89.36
526,13.15,48.15,63.21
527,28.56,63.56,73.99
528,41.80,76.80,83.26
529,36.81,71.81,79.77
530,31.43,66.43,76.00
531,18.08,53.08,66.65
532,56.77,92.70,96.08
533,47.24,74.82,88.93
534,44.53,69.75,86.90
535,41.03,63.18,84.27
536,49.78,79.58,90.83
537,61.24,70.85,81.88
538,35.72,53.22,80.29
539,57.86,94.75,96.90
540,26.93,61.93,72.85
541,62.25,70.85,81.88
542,33.55,68.55,77.49
543,35.13,70.13,78.59
544,47.37,75.06,89.02
545,36.99,55.60,81.24
546,48.61,77.39,89.96
547,23.00,58.00,70.10
548,55.92,91.09,95.44
549,7.98,42.98,59.59
550,33.92,68.92,77.74
551,34.97,69.97,78.48
552,27.75,62.75,73.43
553,59.43,97.68,98.07
554,26.05,61.05,72.24
555,45.50,80.50,85.85
556,50.63,81.19,91.47
557,39.21,59.76,82.90
558,61.17,70.85,81.88
559,24.99,59.99,71.49
560,24.89,59.89,71.42
561,17.85,52.85,66.49
562,51.24,82.32,91.93
563,62.35,70.85,81.88
564,24.13,59.13,70.89
565,23.93,58.93,70.75
566,40.97,75.97,82.68
567,49.37,78.82,90.53
568,28.40,63.40,73.88
569,51.46,82.73,92.09
570,39.00,74.00,81.30
571,49.19,78.49,90.39
572,59.39,97.61,98.04
573,54.47,88.39,94.36
574,50.53,80.99,91.40
575,38.48,73.48,80.94
576,39.87,74.87,81.91
577,35.76,70.76,79.03
578,49.50,79.06,90.62
579,10.38,45.38,61.26
580,18.35,53.35,66.85
581,50.25,80.46,91.19
582,31.68,66.68,76.17
583,45.85,80.85,86.09
584,59.31,97.46,97.98
585,34.88,69.88,78.42
586,53.33,86.24,93.49
587,42.57,66.07,85.43
588,34.69,69.69,78.28
589,33.76,68.76,77.63
590,22.39,57.39,69.67
591,27.07,62.07,72.95
592,49.69,79.42,90.77
593,43.94,78.94,84.76
594,19.63,54.63,67.74
595,8.86,43.86,60.20
596,37.68,72.68,80.38
597,48.82,77.78,90.11
598,41.87,64.75,84.90
599,52.60,84.88,92.95
600,56.44,92.07,95.83
601,26.59,61.59,72.61
602,45.02,80.02,85.52
603,47.91,76.09,89.44
604,35.42,70.42,78.80
605,28.63,63.63,74.04
606,18.63,53.63,67.04
607,54.34,88.13,94.25
608,50.28,80.52,91.21
609,50.02,85.02,89.01
610,54.92,89.23,94.69
611,31.64,66.64,76.15
612,53.22,86.03,93.41
613,26.15,61.15,72.30
614,16.01,51.01,65.21
615,56.76,91.76,93.73
616,41.98,64.97,84.99
617,39.12,59.60,82.84
618,58.58,96.10,97.44
619,27.52,62.52,73.26
620,47.86,75.98,89.39
621,27.44,62.44,73.21
622,34.90,51.69,79.67
623,47.85,82.85,87.49
624,68.80,70.85,81.88
625,51.07,82.00,91.80
626,18.99,53.99,67.29
627,59.01,96.90,97.76
628,27.54,62.54,73.27
629,49.22,78.53,90.41
630,43.63,78.63,84.54
631,17.72,52.72,66.40
632,54.26,87.98,94.19
633,49.48,79.03,90.61
634,30.20,65.20,75.14
635,53.00,85.63,93.25
636,47.02,74.41,88.76
637,56.53,92.25,95.90
638,52.88,85.40,93.16
639,20.26,55.26,68.18
640,35.59,70.59,78.91
641,5.67,40.67,57.97
642,49.72,79.47,90.79
643,37.13,72.13,79.99
644,54.43,88.30,94.32
645,29.64,64.64,74.75
646,43.63,68.05,86.22
647,54.19,87.86,94.15
648,11.50,46.50,62.05
649,26.76,61.76,72.73
650,27.45,62.45,73.21
651,30.61,65.61,75.43
652,21.77,56.77,69.24
653,52.89,85.41,93.16
654,63.01,70.85,81.88
655,32.54,67.54,76.78
