Clusters,With Incentive - 5Y,Upper Limit With Incentive - 5Y,Lower Limit With Incentive - 5Y,incentive
Ultra High Mileage,1096.972347,-311.089114,1923.842755,3800
High Frequency High Mileage,1046.564152,-311.089114,1923.842755,3800
Low Frequency High Mileage,20.91312567,-311.089114,1923.842755,3800
Low Frequency Low Mileage,-90.80554602,-311.089114,1923.842755,3800
All,130.915244,-311.089114,1923.842755,3800
Ultra High Mileage,1116.972347,-291.089114,1943.842755,3900
High Frequency High Mileage,1066.564152,-291.089114,1943.842755,3900
Low Frequency High Mileage,40.91312567,-291.089114,1943.842755,3900
Low Frequency Low Mileage,-70.80554602,-291.089114,1943.842755,3900
All,150.915244,-291.089114,1943.842755,3900
Ultra High Mileage,1136.972347,-271.089114,1963.842755,4000
High Frequency High Mileage,1086.564152,-271.089114,1963.842755,4000
Low Frequency High Mileage,60.91312567,-271.089114,1963.842755,4000
Low Frequency Low Mileage,-50.80554602,-271.089114,1963.842755,4000
All,170.915244,-271.089114,1963.842755,4000
Ultra High Mileage,1156.972347,-251.089114,1983.842755,4100
High Frequency High Mileage,1106.564152,-251.089114,1983.842755,4100
Low Frequency High Mileage,80.91312567,-251.089114,1983.842755,4100
Low Frequency Low Mileage,-30.80554602,-251.089114,1983.842755,4100
All,190.915244,-251.089114,1983.842755,4100
Ultra High Mileage,1176.972347,-231.089114,2003.842755,4200
High Frequency High Mileage,1126.564152,-231.089114,2003.842755,4200
Low Frequency High Mileage,100.9131257,-231.089114,2003.842755,4200
Low Frequency Low Mileage,-10.80554602,-231.089114,2003.842755,4200
All,210.915244,-231.089114,2003.842755,4200
Ultra High Mileage,1196.972347,-211.089114,2023.842755,4300
High Frequency High Mileage,1146.564152,-211.089114,2023.842755,4300
Low Frequency High Mileage,120.9131257,-211.089114,2023.842755,4300
Low Frequency Low Mileage,9.194453976,-211.089114,2023.842755,4300
All,230.915244,-211.089114,2023.842755,4300
Ultra High Mileage,1216.972347,-191.089114,2043.842755,4400
High Frequency High Mileage,1166.564152,-191.089114,2043.842755,4400
Low Frequency High Mileage,140.9131257,-191.089114,2043.842755,4400
Low Frequency Low Mileage,29.19445398,-191.089114,2043.842755,4400
All,250.915244,-191.089114,2043.842755,4400
Ultra High Mileage,1236.972347,-171.089114,2063.842755,4500
High Frequency High Mileage,1186.564152,-171.089114,2063.842755,4500
Low Frequency High Mileage,160.9131257,-171.089114,2063.842755,4500
Low Frequency Low Mileage,49.19445398,-171.089114,2063.842755,4500
All,270.915244,-171.089114,2063.842755,4500
Ultra High Mileage,1256.972347,-151.089114,2083.842755,4600
High Frequency High Mileage,1206.564152,-151.089114,2083.842755,4600
Low Frequency High Mileage,180.9131257,-151.089114,2083.842755,4600
Low Frequency Low Mileage,69.19445398,-151.089114,2083.842755,4600
All,290.915244,-151.089114,2083.842755,4600
Ultra High Mileage,1276.972347,-131.089114,2103.842755,4700
High Frequency High Mileage,1226.564152,-131.089114,2103.842755,4700
Low Frequency High Mileage,200.9131257,-131.089114,2103.842755,4700
Low Frequency Low Mileage,89.19445398,-131.089114,2103.842755,4700
All,310.915244,-131.089114,2103.842755,4700
Ultra High Mileage,1296.972347,-111.089114,2123.842755,4800
High Frequency High Mileage,1246.564152,-111.089114,2123.842755,4800
Low Frequency High Mileage,220.9131257,-111.089114,2123.842755,4800
Low Frequency Low Mileage,109.194454,-111.089114,2123.842755,4800
All,330.915244,-111.089114,2123.842755,4800
Ultra High Mileage,1316.972347,-91.08911396,2143.842755,4900
High Frequency High Mileage,1266.564152,-91.08911396,2143.842755,4900
Low Frequency High Mileage,240.9131257,-91.08911396,2143.842755,4900
Low Frequency Low Mileage,129.194454,-91.08911396,2143.842755,4900
All,350.915244,-91.08911396,2143.842755,4900
Ultra High Mileage,1336.972347,-71.08911396,2163.842755,5000
High Frequency High Mileage,1286.564152,-71.08911396,2163.842755,5000
Low Frequency High Mileage,260.9131257,-71.08911396,2163.842755,5000
Low Frequency Low Mileage,149.194454,-71.08911396,2163.842755,5000
All,370.915244,-71.08911396,2163.842755,5000
Ultra High Mileage,1356.972347,-51.08911396,2183.842755,5100
High Frequency High Mileage,1306.564152,-51.08911396,2183.842755,5100
Low Frequency High Mileage,280.9131257,-51.08911396,2183.842755,5100
Low Frequency Low Mileage,169.194454,-51.08911396,2183.842755,5100
All,390.915244,-51.08911396,2183.842755,5100
Ultra High Mileage,1376.972347,-31.08911396,2203.842755,5200
High Frequency High Mileage,1326.564152,-31.08911396,2203.842755,5200
Low Frequency High Mileage,300.9131257,-31.08911396,2203.842755,5200
Low Frequency Low Mileage,189.194454,-31.08911396,2203.842755,5200
All,410.915244,-31.08911396,2203.842755,5200
Ultra High Mileage,1396.972347,-11.08911396,2223.842755,5300
High Frequency High Mileage,1346.564152,-11.08911396,2223.842755,5300
Low Frequency High Mileage,320.9131257,-11.08911396,2223.842755,5300
Low Frequency Low Mileage,209.194454,-11.08911396,2223.842755,5300
All,430.915244,-11.08911396,2223.842755,5300
Ultra High Mileage,1416.972347,8.910886037,2243.842755,5400
High Frequency High Mileage,1366.564152,8.910886037,2243.842755,5400
Low Frequency High Mileage,340.9131257,8.910886037,2243.842755,5400
Low Frequency Low Mileage,229.194454,8.910886037,2243.842755,5400
All,450.915244,8.910886037,2243.842755,5400
Ultra High Mileage,1436.972347,28.91088604,2263.842755,5500
High Frequency High Mileage,1386.564152,28.91088604,2263.842755,5500
Low Frequency High Mileage,360.9131257,28.91088604,2263.842755,5500
Low Frequency Low Mileage,249.194454,28.91088604,2263.842755,5500
All,470.915244,28.91088604,2263.842755,5500
Ultra High Mileage,1456.972347,48.91088604,2283.842755,5600
High Frequency High Mileage,1406.564152,48.91088604,2283.842755,5600
Low Frequency High Mileage,380.9131257,48.91088604,2283.842755,5600
Low Frequency Low Mileage,269.194454,48.91088604,2283.842755,5600
All,490.915244,48.91088604,2283.842755,5600
Ultra High Mileage,1476.972347,68.91088604,2303.842755,5700
High Frequency High Mileage,1426.564152,68.91088604,2303.842755,5700
Low Frequency High Mileage,400.9131257,68.91088604,2303.842755,5700
Low Frequency Low Mileage,289.194454,68.91088604,2303.842755,5700
All,510.915244,68.91088604,2303.842755,5700
Ultra High Mileage,1496.972347,88.91088604,2323.842755,5800
High Frequency High Mileage,1446.564152,88.91088604,2323.842755,5800
Low Frequency High Mileage,420.9131257,88.91088604,2323.842755,5800
Low Frequency Low Mileage,309.194454,88.91088604,2323.842755,5800
All,530.915244,88.91088604,2323.842755,5800
Ultra High Mileage,1516.972347,108.910886,2343.842755,5900
High Frequency High Mileage,1466.564152,108.910886,2343.842755,5900
Low Frequency High Mileage,440.9131257,108.910886,2343.842755,5900
Low Frequency Low Mileage,329.194454,108.910886,2343.842755,5900
All,550.915244,108.910886,2343.842755,5900
Ultra High Mileage,1536.972347,128.910886,2363.842755,6000
High Frequency High Mileage,1486.564152,128.910886,2363.842755,6000
Low Frequency High Mileage,460.9131257,128.910886,2363.842755,6000
Low Frequency Low Mileage,349.194454,128.910886,2363.842755,6000
All,570.915244,128.910886,2363.842755,6000
Ultra High Mileage,1556.972347,148.910886,2383.842755,6100
High Frequency High Mileage,1506.564152,148.910886,2383.842755,6100
Low Frequency High Mileage,480.9131257,148.910886,2383.842755,6100
Low Frequency Low Mileage,369.194454,148.910886,2383.842755,6100
All,590.915244,148.910886,2383.842755,6100
Ultra High Mileage,1576.972347,168.910886,2403.842755,6200
High Frequency High Mileage,1526.564152,168.910886,2403.842755,6200
Low Frequency High Mileage,500.9131257,168.910886,2403.842755,6200
Low Frequency Low Mileage,389.194454,168.910886,2403.842755,6200
All,610.915244,168.910886,2403.842755,6200
Ultra High Mileage,1596.972347,188.910886,2423.842755,6300
High Frequency High Mileage,1546.564152,188.910886,2423.842755,6300
Low Frequency High Mileage,520.9131257,188.910886,2423.842755,6300
Low Frequency Low Mileage,409.194454,188.910886,2423.842755,6300
All,630.915244,188.910886,2423.842755,6300
Ultra High Mileage,1616.972347,208.910886,2443.842755,6400
High Frequency High Mileage,1566.564152,208.910886,2443.842755,6400
Low Frequency High Mileage,540.9131257,208.910886,2443.842755,6400
Low Frequency Low Mileage,429.194454,208.910886,2443.842755,6400
All,650.915244,208.910886,2443.842755,6400
Ultra High Mileage,1636.972347,228.910886,2463.842755,6500
High Frequency High Mileage,1586.564152,228.910886,2463.842755,6500
Low Frequency High Mileage,560.9131257,228.910886,2463.842755,6500
Low Frequency Low Mileage,449.194454,228.910886,2463.842755,6500
All,670.915244,228.910886,2463.842755,6500
Ultra High Mileage,1656.972347,248.910886,2483.842755,6600
High Frequency High Mileage,1606.564152,248.910886,2483.842755,6600
Low Frequency High Mileage,580.9131257,248.910886,2483.842755,6600
Low Frequency Low Mileage,469.194454,248.910886,2483.842755,6600
All,690.915244,248.910886,2483.842755,6600
Ultra High Mileage,1676.972347,268.910886,2503.842755,6700
High Frequency High Mileage,1626.564152,268.910886,2503.842755,6700
Low Frequency High Mileage,600.9131257,268.910886,2503.842755,6700
Low Frequency Low Mileage,489.194454,268.910886,2503.842755,6700
All,710.915244,268.910886,2503.842755,6700
Ultra High Mileage,1696.972347,288.910886,2523.842755,6800
High Frequency High Mileage,1646.564152,288.910886,2523.842755,6800
Low Frequency High Mileage,620.9131257,288.910886,2523.842755,6800
Low Frequency Low Mileage,509.194454,288.910886,2523.842755,6800
All,730.915244,288.910886,2523.842755,6800
Ultra High Mileage,1716.972347,308.910886,2543.842755,6900
High Frequency High Mileage,1666.564152,308.910886,2543.842755,6900
Low Frequency High Mileage,640.9131257,308.910886,2543.842755,6900
Low Frequency Low Mileage,529.194454,308.910886,2543.842755,6900
All,750.915244,308.910886,2543.842755,6900
Ultra High Mileage,1736.972347,328.910886,2563.842755,7000
High Frequency High Mileage,1686.564152,328.910886,2563.842755,7000
Low Frequency High Mileage,660.9131257,328.910886,2563.842755,7000
Low Frequency Low Mileage,549.194454,328.910886,2563.842755,7000
All,770.915244,328.910886,2563.842755,7000
Ultra High Mileage,1756.972347,348.910886,2583.842755,7100
High Frequency High Mileage,1706.564152,348.910886,2583.842755,7100
Low Frequency High Mileage,680.9131257,348.910886,2583.842755,7100
Low Frequency Low Mileage,569.194454,348.910886,2583.842755,7100
All,790.915244,348.910886,2583.842755,7100
Ultra High Mileage,1776.972347,368.910886,2603.842755,7200
High Frequency High Mileage,1726.564152,368.910886,2603.842755,7200
Low Frequency High Mileage,700.9131257,368.910886,2603.842755,7200
Low Frequency Low Mileage,589.194454,368.910886,2603.842755,7200
All,810.915244,368.910886,2603.842755,7200
Ultra High Mileage,1796.972347,388.910886,2623.842755,7300
High Frequency High Mileage,1746.564152,388.910886,2623.842755,7300
Low Frequency High Mileage,720.9131257,388.910886,2623.842755,7300
Low Frequency Low Mileage,609.194454,388.910886,2623.842755,7300
All,830.915244,388.910886,2623.842755,7300
Ultra High Mileage,1816.972347,408.910886,2643.842755,7400
High Frequency High Mileage,1766.564152,408.910886,2643.842755,7400
Low Frequency High Mileage,740.9131257,408.910886,2643.842755,7400
Low Frequency Low Mileage,629.194454,408.910886,2643.842755,7400
All,850.915244,408.910886,2643.842755,7400
Ultra High Mileage,1836.972347,428.910886,2663.842755,7500
High Frequency High Mileage,1786.564152,428.910886,2663.842755,7500
Low Frequency High Mileage,760.9131257,428.910886,2663.842755,7500
Low Frequency Low Mileage,649.194454,428.910886,2663.842755,7500
All,870.915244,428.910886,2663.842755,7500
Ultra High Mileage,1856.972347,448.910886,2683.842755,7600
High Frequency High Mileage,1806.564152,448.910886,2683.842755,7600
Low Frequency High Mileage,780.9131257,448.910886,2683.842755,7600
Low Frequency Low Mileage,669.194454,448.910886,2683.842755,7600
All,890.915244,448.910886,2683.842755,7600
Ultra High Mileage,1876.972347,468.910886,2703.842755,7700
High Frequency High Mileage,1826.564152,468.910886,2703.842755,7700
