vmt,type,num_drivers,cum_frequency
187,90th%_vmt,7980,1363185
187,95th%_vmt,8826,1175754
187,99th%_vmt,7744,942810
187,avg_total_vmt,1793,1778613
188,90th%_vmt,7949,1371134
188,95th%_vmt,8782,1184536
188,99th%_vmt,7672,950482
188,avg_total_vmt,1670,1780283
189,90th%_vmt,7866,1379000
189,95th%_vmt,8715,1193251
189,99th%_vmt,7670,958152
189,avg_total_vmt,1633,1781916
190,90th%_vmt,7652,1386652
190,95th%_vmt,8609,1201860
190,99th%_vmt,7554,965706
190,avg_total_vmt,1523,1783439
191,90th%_vmt,7459,1394111
191,95th%_vmt,8374,1210234
191,99th%_vmt,7651,973357
191,avg_total_vmt,1561,1785000
192,90th%_vmt,7343,1401454
192,95th%_vmt,8481,1218715
192,99th%_vmt,7725,981082
192,avg_total_vmt,1452,1786452
193,90th%_vmt,7383,1408837
193,95th%_vmt,8319,1227034
193,99th%_vmt,7676,988758
193,avg_total_vmt,1471,1787923
194,90th%_vmt,7171,1416008
194,95th%_vmt,8294,1235328
194,99th%_vmt,7683,996441
194,avg_total_vmt,1356,1789279
195,90th%_vmt,7055,1423063
195,95th%_vmt,8208,1243536
195,99th%_vmt,7508,1003949
195,avg_total_vmt,1347,1790626
196,90th%_vmt,6975,1430038
196,95th%_vmt,8170,1251706
196,99th%_vmt,7573,1011522
196,avg_total_vmt,1318,1791944
197,90th%_vmt,7004,1437042
197,95th%_vmt,8183,1259889
197,99th%_vmt,7453,1018975
197,avg_total_vmt,1295,1793239
198,90th%_vmt,7006,1444048
198,95th%_vmt,7963,1267852
198,99th%_vmt,7584,1026559
198,avg_total_vmt,1203,1794442
199,90th%_vmt,6829,1450877
199,95th%_vmt,7865,1275717
199,99th%_vmt,7506,1034065
199,avg_total_vmt,1160,1795602
200,90th%_vmt,6638,1457515
200,95th%_vmt,7900,1283617
200,99th%_vmt,7413,1041478
200,avg_total_vmt,1199,1796801
201,90th%_vmt,6609,1464124
201,95th%_vmt,7688,1291305
201,99th%_vmt,7318,1048796
201,avg_total_vmt,1078,1797879
202,90th%_vmt,6662,1470786
202,95th%_vmt,7682,1298987
202,99th%_vmt,7432,1056228
202,avg_total_vmt,1066,1798945
203,90th%_vmt,6582,1477368
203,95th%_vmt,7726,1306713
203,99th%_vmt,7380,1063608
203,avg_total_vmt,1035,1799980
204,90th%_vmt,6467,1483835
204,95th%_vmt,7509,1314222
204,99th%_vmt,7442,1071050
204,avg_total_vmt,1046,1801026
205,90th%_vmt,6266,1490101
205,95th%_vmt,7391,1321613
205,99th%_vmt,7173,1078223
205,avg_total_vmt,943,1801969
206,90th%_vmt,6222,1496323
206,95th%_vmt,7361,1328974
206,99th%_vmt,7163,1085386
206,avg_total_vmt,979,1802948
207,90th%_vmt,6012,1502335
207,95th%_vmt,7362,1336336
207,99th%_vmt,7255,1092641
207,avg_total_vmt,912,1803860
208,90th%_vmt,6105,1508440
208,95th%_vmt,7315,1343651
208,99th%_vmt,7163,1099804
208,avg_total_vmt,894,1804754
209,90th%_vmt,5839,1514279
209,95th%_vmt,7177,1350828
209,99th%_vmt,7206,1107010
209,avg_total_vmt,814,1805568
